ResidentDate,Total_Admissions,ResidentDate_year,ResidentDate_month,ResidentDate_day,ResidentDate_weekday,is_weekend,season,temperature_max,temperature_min,temp_range,precipitation,is_rain,Festival,pandemic_flag,disaster_flag,Total_Admissions_Lag1,Total_Admissions_Lag7,Total_Admissions_MA7,Total_Admissions_MA14,Total_Admissions_EMA,Total_Admissions_Rolling_Std,Total_Admissions_Rolling_Min,Total_Admissions_Rolling_Max
2021-08-12,67,2021,8,12,3,0,3,32.8,26.4,6.399999999999999,375.2,1,0,0,0,69.0,84.0,89.42857142857143,70.0,79.08378298939996,16.164334637890192,67.0,108.0
2021-08-13,97,2021,8,13,4,0,3,32.3,26.0,6.299999999999997,989.4,1,0,0,0,67.0,90.0,90.42857142857143,75.78571428571429,83.56283724204997,16.42008062157521,67.0,108.0
2021-08-14,91,2021,8,14,5,1,3,33.5,26.6,6.899999999999999,136.5,1,0,0,0,97.0,106.0,88.28571428571429,80.5,85.42212793153747,14.963447527383007,67.0,108.0
2021-08-15,94,2021,8,15,6,1,3,32.9,25.9,7.0,131.6,1,1,0,0,91.0,108.0,86.28571428571429,85.78571428571429,87.5665959486531,12.645345464033213,67.0,97.0
2021-08-16,83,2021,8,16,0,0,3,33.0,25.8,7.199999999999999,74.7,1,1,0,0,94.0,94.0,84.71428571428571,85.85714285714286,86.42494696148982,12.20265388777154,67.0,97.0
2021-08-17,90,2021,8,17,1,0,3,32.7,26.0,6.700000000000003,72.0,1,0,0,0,83.0,92.0,84.42857142857143,88.0,87.31871022111737,12.02576598886872,67.0,97.0
2021-08-18,79,2021,8,18,2,0,3,33.4,26.8,6.599999999999998,181.7,1,0,0,0,90.0,69.0,85.85714285714286,88.85714285714286,85.23903266583802,10.367072415883571,67.0,97.0
2021-08-19,67,2021,8,19,3,0,3,33.4,27.5,5.899999999999999,348.40000000000003,1,0,0,0,79.0,67.0,85.85714285714286,87.64285714285714,80.67927449937852,10.367072415883571,67.0,97.0
2021-08-20,70,2021,8,20,4,0,3,31.9,25.1,6.799999999999997,329.0,1,1,0,0,67.0,97.0,82.0,86.21428571428571,78.0094558745339,10.551461194228892,67.0,94.0
2021-08-21,95,2021,8,21,5,1,3,30.2,25.5,4.699999999999999,323.0,1,1,0,0,70.0,91.0,82.57142857142857,85.42857142857143,82.25709190590042,11.207990347026193,67.0,95.0
2021-08-22,89,2021,8,22,6,1,3,30.6,24.8,5.800000000000001,17.8,1,1,0,0,95.0,94.0,81.85714285714286,84.07142857142857,83.94281892942531,10.494896719017396,67.0,95.0
2021-08-23,84,2021,8,23,0,0,3,30.8,25.5,5.300000000000001,0.0,0,0,0,0,89.0,83.0,82.0,83.35714285714286,83.95711419706899,10.519822558705616,67.0,95.0
2021-08-24,72,2021,8,24,1,0,3,32.0,26.1,5.899999999999999,43.199999999999996,1,0,0,0,84.0,90.0,79.42857142857143,81.92857142857143,80.96783564780173,10.438025721005227,67.0,95.0
2021-08-25,90,2021,8,25,2,0,3,33.4,26.4,7.0,594.0,1,0,0,0,72.0,79.0,81.0,83.42857142857143,83.2258767358513,11.165422816295488,67.0,95.0
2021-08-26,79,2021,8,26,3,0,3,32.3,25.4,6.899999999999999,845.3,1,0,0,0,90.0,67.0,82.71428571428571,84.28571428571429,82.16940755188847,9.446591726018431,70.0,95.0
2021-08-27,68,2021,8,27,4,0,3,32.6,25.7,6.900000000000002,802.4000000000001,1,0,0,0,79.0,70.0,82.42857142857143,82.21428571428571,78.62705566391635,9.913915184512069,68.0,95.0
2021-08-28,71,2021,8,28,5,1,3,29.7,25.2,4.5,1945.3999999999999,1,0,0,0,68.0,95.0,79.0,80.78571428571429,76.72029174793727,8.944271909998362,68.0,90.0
2021-08-29,90,2021,8,29,6,1,3,29.4,25.1,4.299999999999997,3159.0,1,1,0,0,71.0,89.0,79.14285714285714,80.5,80.04021881095295,9.136530549184203,68.0,90.0
2021-08-30,83,2021,8,30,0,0,3,32.4,25.4,7.0,49.8,1,1,0,0,90.0,84.0,79.0,80.5,80.7801641082147,9.055385138136629,68.0,90.0
2021-08-31,77,2021,8,31,1,0,3,31.4,25.5,5.899999999999999,138.6,1,0,0,0,83.0,72.0,79.71428571428571,79.57142857142857,79.83512308116103,8.596787882968115,68.0,90.0
2021-09-01,83,2021,9,1,2,0,4,30.4,26.6,3.799999999999997,33.2,1,0,0,0,77.0,90.0,78.71428571428571,79.85714285714286,80.62634231087077,7.543524501501119,68.0,90.0
2021-09-02,63,2021,9,2,3,0,4,30.6,25.4,5.200000000000003,1682.1,1,0,0,0,83.0,79.0,76.42857142857143,79.57142857142857,76.21975673315308,9.589180410878056,63.0,90.0
2021-09-03,76,2021,9,3,4,0,4,30.3,24.6,5.699999999999999,1504.8,1,0,0,0,63.0,68.0,77.57142857142857,80.0,76.16481754986481,8.866738273967139,63.0,90.0
2021-09-04,78,2021,9,4,5,1,4,29.2,24.9,4.300000000000001,975.0,1,0,0,0,76.0,71.0,78.57142857142857,78.78571428571429,76.62361316239861,8.383657572068419,63.0,90.0
2021-09-05,96,2021,9,5,6,1,4,31.0,25.0,6.0,998.4000000000001,1,1,0,0,78.0,90.0,79.42857142857143,79.28571428571429,81.46770987179896,9.913915184512113,63.0,96.0
2021-09-06,73,2021,9,6,0,0,4,30.0,25.6,4.399999999999999,138.7,1,0,0,0,96.0,83.0,78.0,78.5,79.35078240384922,10.033277962194244,63.0,96.0
2021-09-07,72,2021,9,7,1,0,4,32.4,26.8,5.599999999999998,0.0,0,0,0,0,73.0,77.0,77.28571428571429,78.5,77.51308680288692,10.29100393084893,63.0,96.0
2021-09-08,67,2021,9,8,2,0,4,32.9,25.9,7.0,13.4,1,0,0,0,72.0,83.0,75.0,76.85714285714286,74.88481510216519,10.583005244257741,63.0,96.0
2021-09-09,49,2021,9,9,3,0,4,33.8,26.8,6.9999999999999964,14.7,1,0,0,0,67.0,63.0,73.0,74.71428571428571,68.4136113266239,13.999999999999549,49.0,96.0
2021-09-10,72,2021,9,10,4,0,4,33.1,26.9,6.200000000000003,7.2,1,1,0,0,49.0,76.0,72.42857142857143,75.0,69.31020849496792,13.938641048742944,49.0,96.0
2021-09-11,66,2021,9,11,5,1,4,33.0,26.7,6.300000000000001,99.0,1,0,0,1,72.0,78.0,70.71428571428571,74.64285714285714,68.48265637122594,13.8770107938063,49.0,96.0
2021-09-12,66,2021,9,12,6,1,4,33.6,26.7,6.900000000000002,52.800000000000004,1,1,0,0,66.0,96.0,66.42857142857143,72.92857142857143,67.86199227841945,8.263517065130529,49.0,73.0
2021-09-13,26,2021,9,13,0,0,4,35.1,27.5,7.600000000000001,0.0,0,0,0,0,66.0,73.0,59.714285714285715,68.85714285714286,57.39649420881459,16.760213659281103,26.0,72.0
2021-09-14,68,2021,9,14,1,0,4,34.4,27.8,6.599999999999998,0.0,0,0,0,0,26.0,72.0,59.142857142857146,68.21428571428571,60.04737065661094,16.334305121722043,26.0,72.0
2021-09-15,79,2021,9,15,2,0,4,33.6,27.1,6.5,55.3,1,0,0,0,68.0,67.0,60.857142857142854,67.92857142857143,64.7855279924582,17.855237993639694,26.0,79.0
2021-09-16,57,2021,9,16,3,0,4,32.0,27.1,4.899999999999999,74.10000000000001,1,0,0,0,79.0,49.0,62.0,67.5,62.83914599434365,17.21433511156686,26.0,79.0
2021-09-17,59,2021,9,17,4,0,4,32.2,26.9,5.300000000000004,194.7,1,0,0,0,57.0,72.0,60.142857142857146,66.28571428571429,61.87935949575774,16.647608150807972,26.0,79.0
2021-09-18,44,2021,9,18,5,1,4,32.2,26.4,5.800000000000004,110.0,1,0,0,0,59.0,66.0,57.0,63.857142857142854,57.409519621818305,17.416467303483937,26.0,79.0
2021-09-19,71,2021,9,19,6,1,4,31.3,26.4,4.900000000000002,99.39999999999999,1,1,0,0,44.0,66.0,57.714285714285715,62.07142857142857,60.80713971636373,17.941704542900975,26.0,79.0
2021-09-20,60,2021,9,20,0,0,4,32.2,25.6,6.600000000000001,222.0,1,0,0,0,71.0,26.0,62.57142857142857,61.142857142857146,60.605354787272795,11.296860077872871,44.0,79.0
2021-09-21,48,2021,9,21,1,0,4,33.5,25.7,7.800000000000001,360.0,1,0,0,0,60.0,68.0,59.714285714285715,59.42857142857143,57.454016090454594,12.188988004400514,44.0,79.0
2021-09-22,56,2021,9,22,2,0,4,32.3,25.5,6.799999999999997,162.4,1,0,0,0,48.0,79.0,56.42857142857143,58.642857142857146,57.09051206784095,8.734169352932552,44.0,71.0
2021-09-23,60,2021,9,23,3,0,4,32.4,25.5,6.899999999999999,324.0,1,1,0,0,56.0,57.0,56.857142857142854,59.42857142857143,57.81788405088071,8.839844859659527,44.0,71.0
2021-09-24,61,2021,9,24,4,0,4,31.3,25.9,5.400000000000002,298.90000000000003,1,0,0,0,60.0,59.0,57.142857142857146,58.642857142857146,58.61341303816053,8.952254305081423,44.0,71.0
2021-09-25,59,2021,9,25,5,1,4,32.8,25.8,6.9999999999999964,554.6,1,0,0,0,61.0,44.0,59.285714285714285,58.142857142857146,58.7100597786204,6.824326235711457,48.0,71.0
2021-09-26,57,2021,9,26,6,1,4,31.0,25.2,5.800000000000001,262.2,1,1,0,0,59.0,71.0,57.285714285714285,57.5,58.2825448339653,4.461475305854963,48.0,61.0
2021-09-27,54,2021,9,27,0,0,4,33.6,26.6,7.0,75.6,1,0,0,0,57.0,60.0,56.42857142857143,59.5,57.211908625473974,4.429339411135661,48.0,61.0
